,sample,vaf_based,purity.median,titan,ploidy,sequenza,ploidy.estimate,ploidy.mean.cn,gain,loss,normal,percent,Site,cluster,titan.adj,sequenza.manual,Source.seq,CCF.manual,Source,new_sample,QC,sample_simple,new_simple
35,597805-5A-Lym,0.319002154,0.32,0.0011,2.013,0.1,1.5,2.040231846,892057649,579648720,1180006686,0.555,Lym,High,0.319002154,0.1,seq,0.319002154,titan,NA,NA,NA,NA
36,609386-10E-Aca,0.383043603,0.385321101,0.4728,2.239,0.5,2.5,4.592552337,2581444020,0,53485873,0.9797,Aca,High,0.4728,0.5,seq,0.4728,titan,M10_10E_Aca,FAIL,609386,M10
37,609386-10E-Nec,0.472581805,0.475213675,0.5298,2.234,0.55,2.3,4.538854984,2544699363,0,98421641,0.9628,Nec,High,0.5298,0.55,seq,0.5298,titan,M10_10E_Nec,PASS,609386,M10
38,618360-1B-Aca,0.658438492,0.64,0.5138,3.112,0.59,2.8,5.779386062,2585284062,0,46851948,0.9822,Aca,High,0.5138,0.59,seq,0.5138,titan,M11_1B_Aca,PASS,618360,M11
39,618360-1B-Nec,0.431829507,0.416666667,0.4561,2.262,0.48,2.8,5.809156091,2631601299,0,9197333,0.9965,Nec,High,0.4561,0.48,seq,0.4561,titan,M11_1B_Nec,FAIL,618360,M11
40,627928-16-Lym,0.419408788,0.428571429,0.0415,2.031,0.99,2,2.209853991,221482925,1056973,2423597134,0.0841,Lym,Low,0.419408788,0.99,seq,0.419408788,titan,NA,NA,NA,NA
41,627928-1A-Aca,0.665212202,0.695652174,0.5618,2.327,0.58,2.9,5.437125926,2653684502,120459,3777017,0.9986,Aca,High,0.5618,0.58,seq,0.5618,titan,M12_1A_Aca,PASS,627928,M12
42,627928-1A-Nec,0.722435897,0.725,0.7353,1.998,0.58,3,5.408590074,2658013688,1255115,686789,0.9997,Nec,High,0.7353,0.58,seq,0.7353,titan,M12_1A_Nec,PASS,627928,M12
43,627928-1A-Squca,0.537300097,0.526315789,0.542,1.987,0.5,2.7,4.890106396,2655542454,406,267128,0.9999,Squca,High,0.542,0.5,seq,0.542,titan,M12_1A_Squca,FAIL,627928,M12
44,627928-1B-Aca,0.301282396,0.3,0.4899,2.094,0.36,2.6,5.254943211,2650816137,2189428,9875364,0.9963,Aca,High,0.4899,0.36,seq,0.4899,titan,M12_1B_Aca,FAIL,627928,M12
45,627928-1B-Nec,0.542257393,0.56,0.7379,2.702,0.75,2.9,2.836236647,1787507446,841498,871610960,0.6723,Nec,High,0.7379,0.75,seq,0.7379,titan,M12_1B_Nec,FAIL,627928,M12
46,627928-1B-Squca,0.333541451,0.317142857,0.5193,2.059,0.3,2.3,3.484086459,1496952926,64569641,1095289234,0.5877,Squca,High,0.5193,0.3,seq,0.5193,titan,M12_1B_Squca,PASS,627928,M12
47,627928-1C-Aca,0.832239766,0.823529412,0.5138,2.421,0.56,2.8,5.407245129,2659729840,1113548,896750,0.9997,Aca,High,0.5138,0.56,seq,0.5138,titan,M12_1C_Aca,PASS,627928,M12
48,627928-1C-Nec,0.744954107,0.741336634,0.8158,2.967,0.86,2.9,2.829157693,1756670958,1265733,895000440,0.6626,Nec,High,0.8158,0.86,seq,0.8158,titan,M12_1C_Nec,FAIL,627928,M12
49,627928-1C-Squca,0.322939865,0.305555556,0.4515,2.001,0.98,2.5,2.896516803,1623845755,1322180,1020762243,0.6142,Squca,High,0.4515,0.98,seq,0.4515,titan,M12_1C_Squca,FAIL,627928,M12
50,627928-1D-Aca,0.330720865,0.321290323,0.4454,2.216,0.4,3,2.755321734,1519862420,3276435,1132455285,0.5736,Aca,High,0.4454,0.4,seq,0.4454,titan,M12_1D_Aca,FAIL,627928,M12
51,627928-1D-Squca,0.28626092,0.258813161,0.6526,1.977,0.53,2.8,4.992951727,2651658836,447395,227,1,Squca,High,0.6526,0.53,seq,0.6526,titan,M12_1D_Squca,FAIL,627928,M12
52,632214-6CB-Lym,0.502908409,0.488346883,0.6703,2.788,0.74,2.4,2.630365004,1156616996,130046693,1371615490,0.484,Lym,High,0.6703,0.74,seq,0.6703,titan,NA,NA,NA,NA
53,632214-6O-Aca,0.777669143,0.755555556,0.6225,2.916,0.69,2.5,2.420660963,970838138,101430893,1580369736,0.4042,Aca,High,0.6225,0.69,seq,0.6225,titan,M13_6O_Aca,PASS,632214,M13
54,632214-6O-Nec,0.845415611,0.797959184,0.867,2.832,0.91,2.5,2.447534367,1024094398,129011259,1481406420,0.4377,Nec,High,0.867,0.91,seq,0.867,titan,M13_6O_Nec,PASS,632214,M13
55,635803-12B-Lym,0.413260073,0.421818182,0.0006,1.996,0.18,1.6,3.258907586,1075005171,216927533,1351140719,0.4888,Lym,High,0.413260073,0.18,seq,0.413260073,titan,NA,NA,NA,NA
56,635803-1C-Aca,0.381998778,0.393939394,0.501,2.114,0.51,2.5,2.354732109,762857416,389737776,1494776419,0.4354,Aca,High,0.501,0.51,seq,0.501,titan,M14_1C_Aca,PASS,635803,M14
57,635803-1C-Nec,0.173475975,0.166666667,0.2257,1.992,0.2,2,2.460382901,926076165,151309778,1579989589,0.4054,Nec,High,0.2257,0.2,seq,0.2257,titan,M14_1C_Nec,PASS,635803,M14
58,635803-1D-Aca,0.197691423,0.184210526,0.2245,2.046,0.22,1.6,2.164792187,721586815,397602945,1543914533,0.4203,Aca,High,0.2245,0.1,seq,0.2245,titan,M14_1D_Aca,PASS,635803,M14
59,635803-1D-Nec,0.430985013,0.409638554,0.4387,2.115,0.45,2.1,4.387547005,2471471561,0,181513651,0.9316,Nec,High,0.4387,0.45,seq,0.4387,titan,M14_1D_Nec,FAIL,635803,M14
60,635803-1E-Aca,0.175961001,0.178571429,0.3109,2.129,0.23,2.5,4.270977271,2389397031,0,262105040,0.9011,Aca,High,0.3109,0.23,seq,0.3109,titan,M14_1E_Aca,PASS,635803,M14
61,635803-1E-Nec,0.455409643,0.460769231,0.5112,2.134,0.53,2.4,2.294402223,665641653,415189101,1568335332,0.408,Nec,High,0.5112,0.53,seq,0.5112,titan,M14_1E_Nec,PASS,635803,M14
62,635803-1F-Aca,0.547917058,0.545454545,0.4993,2.149,0.54,2.1,2.167498146,754394054,353655098,1542495951,0.418,Aca,High,0.4993,0.54,seq,0.4993,titan,M14_1F_Aca,PASS,635803,M14
63,635803-1F-Nec,0.411798852,0.389830508,0.5106,2.057,0.53,2.4,2.290918192,785906488,378219105,1488324862,0.4389,Nec,High,0.5106,0.53,seq,0.5106,titan,M14_1F_Nec,FAIL,635803,M14
64,647334-1A-Aca,0.374299536,0.342342342,0.5495,2.122,0.49,3.3,3.135874818,1941792709,53809191,649628045,0.7544,Aca,High,0.5495,0.49,seq,0.5495,titan,M15_1A_Aca,FAIL,647334,M15
65,647334-1A-Nec,0.325516123,0.299031587,0.4253,1.932,0.26,3.3,4.295921565,2442293377,9267278,203031331,0.9235,Nec,High,0.4253,0.26,seq,0.4253,titan,M15_1A_Nec,FAIL,647334,M15
66,647334-1D-Aca,0.172928942,0.181818182,0.5478,2.347,0.5,3.4,3.056180398,1912839874,43779501,691634605,0.7388,Aca,High,0.5478,0.5,seq,0.5478,titan,M15_1D_Aca,PASS,647334,M15
67,647334-1D-Nec,0.430156724,0.4,0.6809,1.946,0.55,3,2.894583414,1821921487,37064562,789410258,0.7019,Nec,High,0.6809,0.55,seq,0.6809,titan,M15_1D_Nec,FAIL,647334,M15
68,647334-1F-Aca,0.609376819,0.592592593,0.5378,2.389,0.56,3.3,5.992377378,2594048935,0,38404381,0.9854,Aca,High,0.5378,0.56,seq,0.5378,titan,M15_1F_Aca,PASS,647334,M15
69,647334-1F-Nec,0.699440278,0.674278846,0.6717,2.051,0.63,3.1,2.926612977,1809505761,69794844,762115421,0.7115,Nec,High,0.6717,0.63,seq,0.6717,titan,M15_1F_Nec,FAIL,647334,M15
70,647334-1G-Aca,0.429864685,0.4,0.5755,2.496,0.55,3.5,3.166264833,2212731581,55225314,371445991,0.8593,Aca,High,0.5755,0.55,seq,0.5755,titan,M15_1G_Aca,FAIL,647334,M15
71,647334-1G-Nec,0.350547793,0.334498834,0.3771,2.019,0.28,3,3.900039177,2197656701,46864616,411744297,0.845,Nec,High,0.3771,0.28,seq,0.3771,titan,M15_1G_Nec,PASS,647334,M15
72,647334-6F-Lym,0.525939835,0.516683519,0.4719,1.818,0.26,2.7,3.602888789,1923342397,0,733987219,0.7238,Lym,High,0.4719,0.26,seq,0.4719,titan,NA,NA,NA,NA
73,648769-13H-Aca,0.236366742,0.236111111,0.0269,1.997,0.236366742,1.9,2.006593142,13510284,208553,2645068446,0.0052,Aca,Low,0.236366742,0.236366742,seq,0.236366742,titan,M16_13H_Aca,PASS,648769,M16
74,648769-13H-Nec,0.4486635,0.441176471,0.4856,1.938,0.37,3.1,5.324074738,2642311349,0,0,1,Nec,High,0.4856,0.37,seq,0.4856,titan,M16_13H_Nec,PASS,648769,M16
75,652090-1C-Aca,0.287775082,0.294117647,0.4421,2.253,0.38,2.5,2.574963801,1071334740,42240391,1539839856,0.4197,Aca,High,0.4421,0.38,seq,0.4421,titan,M17_1C_Aca,PASS,652090,M17
76,652090-1C-Nec,0.588929164,0.558139535,0.5179,2.318,0.59,2.4,4.589836349,2538663651,0,107081315,0.9595,Nec,High,0.5179,0.59,seq,0.5179,titan,M17_1C_Nec,PASS,652090,M17
77,652090-5-Lym,0.357710319,0.356818182,0.0046,1.94,0.22,1.9,2.413054767,421787350,138166230,2099717467,0.2105,Lym,High,0.357710319,0.22,seq,0.357710319,titan,NA,NA,NA,NA
78,655833-1C-Aca,0.457702968,0.444444444,0.5105,2.028,0.35,2.7,4.835998464,2563865580,0,93075154,0.965,Aca,High,0.5105,0.35,seq,0.5105,titan,M18_1C_Aca,PASS,655833,M18
79,655833-1C-Nec,0.841142919,0.791666667,0.509,3.249,0.6,2.5,5.512035597,2558560434,0,91981650,0.9653,Nec,High,0.509,0.6,seq,0.509,titan,M18_1C_Nec,PASS,655833,M18
80,655833-4A-Lym,0.735745444,0.727272727,0.7129,2.889,0.77,2.8,2.72865659,1091499387,152124273,1399337491,0.4705,Lym,High,0.7129,0.77,seq,0.7129,titan,NA,NA,NA,NA
81,656799-1D-Aca,0.359640819,0.348516218,0.4366,1.939,0.33,3,4.234742831,2568021206,0,89293638,0.9664,Aca,High,0.4366,0.33,seq,0.4366,titan,M19_1D_Aca,PASS,656799,M19
82,656799-1D-Nec,0.75231807,0.727272727,0.6789,2.994,0.72,3,3.896553132,2487350648,31233558,126348916,0.9522,Nec,High,0.6789,0.72,seq,0.6789,titan,M19_1D_Nec,FAIL,656799,M19
83,656799-5A-Lym,0.703508085,0.653846154,0.6637,2.884,0.64,4.2,4.154195447,2316254009,36893632,294952208,0.8886,Lym,High,0.6637,0.64,seq,0.6637,titan,NA,NA,NA,NA
84,665674-1B-Aca,0.370410513,0.370410513,0.2309,2.003,0.17,2.7,4.81263321,2493439159,0,155165616,0.9414,Aca,High,0.2309,0.17,seq,0.2309,titan,M20_1B_Aca,FAIL,665674,M20
85,665674-1B-Nec,0.797473474,0.780487805,0.6373,1.91,0.7,3.3,4.030109372,2244538945,0,399245119,0.849,Nec,High,0.6373,0.7,seq,0.6373,titan,M20_1B_Nec,PASS,665674,M20
118,670368-1B-Nec,0,NA,0.8677,1.843,0.69,6.6,6.260741833,2653425803,0,0,1,Nec,High,0.8677,0.69,seq,0.8677,titan,NA,NA,NA,NA
86,675437-1F-Aca,0.234683047,0.219178082,0.3672,1.967,0.27,2.4,2.551147783,677168331,104649703,1873350375,0.2945,Aca,High,0.3672,0.27,seq,0.3672,titan,M22_1F_Aca,FAIL,675437,M22
87,675437-1F-Nec,0.720775162,0.693333333,0.7747,1.924,0.72,3.5,3.763145407,2065851327,18708544,544410850,0.7929,Nec,High,0.7747,0.72,seq,0.7747,titan,M22_1F_Nec,FAIL,675437,M22
88,676415-1B-Aca,0.188569278,0.183908046,0.0261,2.015,0.188569278,1.9,2.013295295,26487806,0,2592176653,0.0101,Aca,Low,0.188569278,0.188569278,seq,0.4,"cnaqc, without CNAs",M23_1B_Aca,PASS,676415,M23
89,676415-1B-Nec,0.454092445,0.452830189,0.7534,2.656,0.78,2.8,2.908451615,1686202553,73398229,878637893,0.667,Nec,High,0.7534,0.78,seq,0.7534,titan,M23_1B_Nec,FAIL,676415,M23
90,683171-13D-Aca,0.51036022,0.504805492,0.5197,3.11,0.62,2.4,3.819488064,2243676288,49257111,351377076,0.8671,Aca,High,0.5197,0.62,seq,0.5197,titan,M24_13D_Aca,PASS,683171,M24
91,683171-13D-Nec,0.467026261,0.473214286,0.5245,2.103,0.58,2.4,4.076163111,2278535703,50117576,304094434,0.8845,Nec,High,0.5245,0.58,seq,0.5245,titan,M24_13D_Nec,PASS,683171,M24
92,699446-1E-Aca,0.625052754,0.552036199,0.6027,2.476,0.61,2.5,5.040535101,2654921032,35157,1800299,0.9993,Aca,High,0.6027,0.61,seq,0.6027,titan,M25_1E_Aca,FAIL,699446,M25
93,699446-1E-Nec,0.458073435,0.464646465,0.7322,2.068,0.68,2.5,2.620150287,1568979849,53901456,1034871321,0.6106,Nec,High,0.7322,0.68,seq,0.7322,titan,M25_1E_Nec,FAIL,699446,M25
94,704957-1I-Aca,0.412490999,0.390243902,0.4161,2.131,0.33,3.3,5.046055472,2549444144,0,99555403,0.9624,Aca,High,0.4161,0.33,seq,0.4161,titan,M26_1I_Aca,PASS,704957,M26
95,704957-1I-Nec,0.417560748,0.4,0.4437,2.098,0.4,2.7,4.763082758,2478845741,0,164451403,0.9378,Nec,High,0.4437,0.4,seq,0.4437,titan,M26_1I_Nec,PASS,704957,M26
96,711848-1D-Aca,0.439502308,0.41025641,0.5154,2.493,0.53,2.9,2.916845398,1418582726,55066952,1153674052,0.5609,Aca,High,0.5154,0.53,seq,0.5154,titan,M27_1D_Aca,PASS,711848,M27
97,711848-1D-Nec,0.429463763,0.418604651,0.6669,2.996,0.72,2.8,4.762768167,2557494625,0,68336500,0.974,Nec,High,0.6669,0.72,seq,0.6669,titan,M27_1D_Nec,FAIL,711848,M27
98,713694-9B-Aca,0.2849181,0.300518135,0.3701,2.166,0.37,2.3,2.418266903,792856510,2827832,1858496011,0.2998,Aca,High,0.3701,0.37,seq,0.3701,titan,M28_9B_Aca,PASS,713694,M28
99,713694-9B-Nec,0.172828804,0.16969697,0.2349,1.997,0.21,1.9,2.303654911,521415070,94425945,2043339270,0.2316,Nec,High,0.2349,0.21,seq,0.2349,titan,M28_9B_Nec,PASS,713694,M28
100,715673-1P-Aca,0.44884127,0.444444444,0.0299,2.047,0.44884127,2,2.000625526,5936557,0,2637198947,0.0022,Aca,Low,0.44884127,0.44884127,seq,0.44884127,titan,M29_1P_Aca,PASS,715673,M29
101,715673-1P-Nec,0.380952381,0.380952381,0.0294,2.01,0.380952381,2,2.002686929,6270282,0,2637182634,0.0024,Nec,Low,0.380952381,0.380952381,seq,0.380952381,titan,M29_1P_Nec,PASS,715673,M29
102,727330-1C-Aca,0.151175362,0.137931034,0.4722,2.082,0.33,2.3,3.645959421,2627728517,0,32855446,0.9877,Aca,High,0.4722,0.33,seq,0.24,sequenza,M30_1C_Aca,FAIL,727330,M30
103,727330-1C-Nec,0.212305121,0.217867697,0.3574,2.05,0.22,2.9,4.724541849,2555556463,23211,104834635,0.9606,Nec,High,0.3574,0.22,seq,0.3574,titan,M30_1C_Nec,PASS,727330,M30
104,743302-1B-Aca,0.264261941,0.25,0.3366,3.012,0.15,3.3,5.11498478,2657201048,0,0,1,Aca,High,0.3366,0.15,seq,0.3366,titan,M31_1B_Aca,FAIL,743302,M31
105,743302-1B-Nec,0.542952432,0.532624113,0.7307,3.49,0.81,2.8,2.823273411,1600780811,12322140,1037661762,0.6085,Nec,High,0.7307,0.81,seq,0.7307,genome duplications.,M31_1B_Nec,FAIL,743302,M31
106,743302-6-Lym,0.26083135,0.262965809,0.2765,2.085,0.26,2.4,2.888133074,1066724382,21246003,1575063480,0.4085,Lym,High,0.2765,0.26,seq,0.2765,titan,NA,NA,NA,NA
107,748028-1Q-Aca,0.21021294,0.198360656,0.4691,2.36,0.14,2.7,2.617411631,1327861402,199232025,1118703560,0.5772,Aca,High,0.4691,0.14,seq,0.4691,titan,M32_1Q_Aca,PASS,748028,M32
108,748028-1Q-Nec,0.570116893,0.542857143,0.6516,2.97,0.68,3.3,3.266201865,1935543138,42043328,659082464,0.75,Nec,High,0.6516,0.68,seq,0.7615173,cnaqc high CNVs,M32_1Q_Nec,PASS,748028,M32
109,755646-6-Lym,0.655543832,0.630769231,0.7183,2.092,0.71,2.8,2.926833474,1343413649,112415760,1186865268,0.5509,Lym,High,0.7183,0.71,seq,0.7183,titan,NA,NA,NA,NA
110,755646-9A-Aca,0.430355322,0.392156863,0.522,2.327,0.47,3.2,5.49802537,2580178900,1924611,56730504,0.9785,Aca,High,0.522,0.47,seq,0.522,titan,M33_9A_Aca,PASS,755646,M33
111,755646-9A-Nec,0.430118243,0.415429808,0.6181,2.091,0.62,2.5,2.908758783,1135881356,114399579,1393942787,0.4728,Nec,High,0.6181,0.62,seq,0.6181,titan,M33_9A_Nec,FAIL,755646,M33
112,755646-9D-Aca,0.486405645,0.48,0.4987,3.233,0.61,2.9,2.848347022,1291683278,43259630,1287255635,0.5091,Aca,High,0.4987,0.61,seq,0.4987,titan,M33_9D_Aca,PASS,755646,M33
113,755646-9D-Nec,0.49897401,0.485714286,0.7123,2.133,0.73,2.5,2.868086955,1166379428,84951284,1383450885,0.4749,Nec,High,0.7123,0.73,seq,0.7123,titan,M33_9D_Nec,FAIL,755646,M33
114,755646-9E-Aca,0.368837521,0.371623182,0.5019,2.389,0.48,2.8,2.718853062,1385732113,94518044,1160378927,0.5606,Aca,High,0.5019,0.48,seq,0.5019,titan,M33_9E_Aca,PASS,755646,M33
115,755646-9E-Nec,0.41854514,0.416573971,0.6143,2.15,0.61,2.4,2.919931109,1320018688,92508081,1220298935,0.5365,Nec,High,0.6143,0.61,seq,0.6143,titan,M33_9E_Nec,FAIL,755646,M33
116,755646-9G-Aca,0.38856453,0.406451613,0.4926,2.42,0.5,2.6,2.605266982,1231297845,102218165,1303224201,0.5057,Aca,High,0.4926,0.5,seq,0.4926,titan,M33_9G_Aca,PASS,755646,M33
117,755646-9G-Nec,0.442038165,0.441025641,0.6841,2.146,0.69,2.5,2.942658553,1336299543,96050997,1200332739,0.5441,Nec,High,0.6841,0.69,seq,0.6841,titan,M33_9G_Nec,PASS,755646,M33
120,828160-1E-Nec,0,NA,0.6539,4.296,0.79,2.2,2.235264557,368733570,146677150,2126906149,0.1951,Nec,Low,0.6539,0.79,seq,0.9037,cnaqc estimated.,M34_1E_Nec,FAIL,828160,M34
119,828160-1E-Nec-1E,0,NA,0.6539,4.125,0.79,2.2,2.235264557,368733570,146677150,2126906149,0.1951,Nec,Low,0.6539,0.79,seq,0.9037,titan,NA,NA,NA,NA
122,828160-1G-Aca,0,NA,0.3403,1.338,0.2,1.9,2.190850618,386570865,140442525,2133394209,0.1981,Aca,Low,0.3403,0.2,seq,0.3403,titan,M34_1G_Aca,PASS,828160,M34
121,828160-1G-Aca-1E,0,NA,0.4846,2.84,0.2,1.9,2.190850618,386570865,140442525,2133394209,0.1981,Aca,Low,0.4846,0.2,seq,0.4846,titan,NA,NA,NA,NA
